numero_cartao,validade,limite,data_abertura,id_conta
4549 5862 5471 0997,2027-10-18,11760.062586415483,2019-10-18,64164345-6
5126 3611 6007 3890,2029-01-03,47381.64557829613,2021-01-03,53071808-4
4039 1399 4029 9004,2028-11-05,29026.316034234325,2020-11-05,98680214-5
3775 816942 07600,2028-05-09,47791.92455745661,2020-05-09,02493685-3
4752 5397 9310 6245,2028-04-12,47206.21861928749,2020-04-12,74168281-3
3797 157168 98131,2030-12-15,26613.127758469494,2022-12-15,09387270-1
4529 8865 5762 2111,2029-12-23,43765.630834586154,2021-12-23,40922179-8
3734 733814 50079,2029-06-23,1882.4186274884885,2021-06-23,51508283-4
3725 037949 33682,2028-11-08,15617.470514474173,2020-11-08,64698307-4
4294 0109 6702 1581,2030-04-16,34592.752289615964,2022-04-16,85436868-3
3760 743895 05729,2028-01-12,42974.836194355405,2020-01-12,11401107-3
3489 368854 77238,2029-10-23,24837.027108671547,2021-10-23,16899568-X
2586 3830 3560 9708,2029-10-25,20282.501232436494,2021-10-25,96184139-X
2467 1846 1404 7557,2030-04-19,44688.636558491475,2022-04-19,96775781-7
5217 1521 0522 3504,2027-07-23,21003.480207301483,2019-07-23,97653616-4
3723 620335 72268,2030-05-03,7127.492127560379,2022-05-03,86130597-7
4933 1769 3761 4529,2027-07-19,41506.51438393375,2019-07-19,66504256-8
4276 7132 5151 8988,2029-08-30,7965.390853491816,2021-08-30,42627906-1
3495 071452 23016,2030-01-03,6591.136606154414,2022-01-03,88561994-7
3406 086074 91312,2030-09-24,48611.45821413653,2022-09-24,77045291-X
2306 6330 6168 8706,2030-02-04,805.3313712280022,2022-02-04,54429870-7
5147 0618 9663 8066,2027-07-17,45199.45104060185,2019-07-17,26095980-7
5383 6895 7518 4086,2027-03-21,30326.716946585988,2019-03-21,04095702-5
3729 647528 82362,2027-05-25,34228.85780091286,2019-05-25,30354849-1
5453 2779 7981 9898,2028-03-26,40409.35053462298,2020-03-26,71683853-X
4197 0066 7089 0179,2030-09-07,24738.356508759145,2022-09-07,45515567-5
4107 6869 7367 7255,2030-12-13,45995.3855033695,2022-12-13,71787277-X
4305 3333 0629 1088,2027-10-11,46438.25892023026,2019-10-11,36435861-1
3433 877755 84573,2028-12-29,15243.804151685874,2020-12-29,60812405-3
2711 4380 9255 8772,2028-10-29,24315.121305559715,2020-10-29,82550844-1
5307 1836 6442 2352,2029-03-10,26146.585504963132,2021-03-10,57764852-6
4166 8083 2801 9847,2029-06-12,39836.523894944214,2021-06-12,10716872-4
2585 4231 5496 0226,2027-05-26,20173.41741218862,2019-05-26,67851973-X
3477 026005 03752,2027-10-31,23252.583214477796,2019-10-31,15850477-3
4669 6740 2603 6224,2027-09-08,11286.66173142363,2019-09-08,73796111-X
2532 1152 6979 6842,2027-04-23,26124.32427706201,2019-04-23,23685382-3
2547 5950 3917 7469,2028-01-28,9891.198412672225,2020-01-28,37497831-2
4111 2548 4022 9638,2027-12-25,42796.886322328646,2019-12-25,19962103-2
4524 1796 6655 0992,2029-06-30,10418.11771541881,2021-06-30,21126234-4
4726 9251 3036 1572,2027-09-13,49987.747106645256,2019-09-13,32018056-1
2316 4562 2624 4829,2030-04-13,27916.72092033439,2022-04-13,98451486-8
4325 3869 3045 3017,2030-04-11,35140.75800159864,2022-04-11,11778250-2
2689 1784 5308 8021,2030-10-19,10570.946922435302,2022-10-19,89811519-2
4944 1160 8742 7691,2030-11-16,29238.7411035171,2022-11-16,07937041-2
5160 8068 1614 6661,2030-12-14,38945.6898783401,2022-12-14,32787509-X
4439 1855 7695 4046,2027-07-29,15075.10041968605,2019-07-29,43600932-5
4962 3646 2659 3469,2027-07-06,6912.422443599296,2019-07-06,34206263-3
3786 146004 51407,2030-12-09,40056.37548092766,2022-12-09,43600932-5
4906 1607 3746 0690,2028-07-23,6171.673831624271,2020-07-23,86483821-9
2495 3453 6226 8739,2030-10-27,14652.368719778715,2022-10-27,31121330-1
2357 7983 8389 8792,2027-01-01,45295.87823904588,2019-01-01,24871268-5
2647 7296 6283 9082,2029-01-10,46052.96589463848,2021-01-10,65708740-3
4117 8227 1769 7121,2029-11-09,13596.671425212742,2021-11-09,15229566-1
4107 4327 2967 1072,2027-01-25,12456.84359203411,2019-01-25,37434901-2
3446 557144 70222,2029-12-10,30896.275233020184,2021-12-10,61510965-6
2324 2836 6680 0872,2030-04-12,23626.316839446485,2022-04-12,28297960-4
3745 375398 14003,2027-04-22,12614.121731900648,2019-04-22,78406358-X
3434 911171 97878,2027-01-29,10578.572931098895,2019-01-29,15762299-X
4369 8400 7304 8239,2029-07-08,42294.48729916265,2021-07-08,37838758-5
4057 8674 0870 7624,2028-05-19,28322.499348146994,2020-05-19,90602161-1
4026 6158 5707 2752,2028-05-25,44735.263849113886,2020-05-25,41783300-3
4905 7762 9265 1992,2027-11-29,40667.21932677551,2019-11-29,83312753-4
2583 1193 4617 3320,2027-02-14,16375.723137489995,2019-02-14,21554236-7
2488 1178 9310 8331,2027-02-21,48984.93673529086,2019-02-21,39183854-X
3731 689729 19967,2028-08-30,5451.6317044830885,2020-08-30,76108615-8
5466 0304 6331 5633,2030-01-28,10573.203641421173,2022-01-28,22589376-2
5539 8864 3614 1387,2027-06-09,20505.642429060383,2019-06-09,42005133-9
5421 1321 5639 6336,2028-09-22,36268.448612863285,2020-09-22,36778663-X
3760 614589 74233,2028-06-02,6401.851709195474,2020-06-02,58387769-2
4348 7787 7127 2337,2027-11-10,27751.617277818194,2019-11-10,45515567-5
4562 3168 1600 2705,2027-08-17,35032.82097019676,2019-08-17,05492272-2
4568 6549 7498 2829,2028-07-25,45680.60277664595,2020-07-25,80668038-7
4924 1808 5086 8543,2028-09-10,39591.35161850509,2020-09-10,22512421-X
5209 9399 7329 5220,2027-02-10,43490.37262134849,2019-02-10,38343506-4
3782 986530 75337,2030-01-16,29500.59725502463,2022-01-16,92574521-X
3442 448760 33928,2029-03-17,14661.716880458707,2021-03-17,50889488-7
3763 745146 20942,2027-11-03,2927.9006440538305,2019-11-03,00669456-1
3772 060670 47447,2030-11-19,47626.302579834795,2022-11-19,29989049-7
3401 815148 74897,2029-01-14,16529.097941520093,2021-01-14,06846661-3
4788 9476 0943 0063,2029-11-21,48867.25877754905,2021-11-21,84310782-6
3476 235209 76631,2029-11-13,45576.008070457334,2021-11-13,65094349-9
3420 464812 45934,2030-08-02,12885.590128978287,2022-08-02,66504256-8
3796 436944 52475,2028-09-12,11870.422023694971,2020-09-12,37109987-6
5154 8312 5543 2859,2030-09-14,2210.7847213883806,2022-09-14,24857166-7
3435 488159 00448,2027-12-08,5609.110777976026,2019-12-08,15541569-1
3460 809280 15960,2028-08-20,28447.910862069934,2020-08-20,31214859-6
4806 7421 4758 4457,2028-04-21,21184.780937620853,2020-04-21,75976593-9
5148 2234 3667 1127,2030-04-15,46628.396667746136,2022-04-15,37497831-2
4163 3928 6688 9419,2029-04-24,12045.308119036714,2021-04-24,31684087-3
4447 9494 5235 5838,2029-09-06,4899.547581614643,2021-09-06,16248880-3
4605 9864 7791 6366,2029-07-06,48877.605725990594,2021-07-06,72780553-3
4046 2337 7319 0280,2027-03-06,1296.2584105978644,2019-03-06,37067132-9
3485 684255 96100,2030-05-21,37557.2396290968,2022-05-21,96021778-9
5514 3394 2173 8097,2029-07-14,3008.689691300423,2021-07-14,69165443-5
4442 5604 0167 4255,2027-07-13,3518.6956882526933,2019-07-13,67919296-5
4596 1054 7747 3648,2030-05-10,42940.70685804118,2022-05-10,64029025-7
3758 879076 18570,2028-04-17,44598.568068107386,2020-04-17,62840091-X
3471 494985 99536,2030-12-11,17427.788914670367,2022-12-11,95534392-9
4648 6619 4382 7518,2029-01-15,11568.287065917439,2021-01-15,92771525-5
4590 0021 6781 8578,2029-02-05,9270.250590416881,2021-02-05,30679411-2
3494 449846 97383,2030-08-15,17081.818951686975,2022-08-15,18447878-1
5519 6820 8380 4144,2030-02-09,31946.60511738166,2022-02-09,40765582-3
4754 9039 5561 9460,2030-08-07,48051.43704908156,2022-08-07,35527780-3
3484 715833 80740,2028-01-15,40276.10850217547,2020-01-15,04141676-9
5575 1890 7175 8671,2030-03-23,11655.182546544915,2022-03-23,34975358-6
4486 6712 0515 8523,2027-10-11,4632.924604620792,2019-10-11,77720154-6
3420 455432 36352,2029-02-17,47749.95911609509,2021-02-17,30624143-8
2438 8262 4000 5138,2029-07-23,5621.556542839605,2021-07-23,67629913-4
3459 910609 59172,2029-06-10,32794.5702130819,2021-06-10,60571004-8
3787 798420 77516,2028-06-03,46610.793100728,2020-06-03,84867152-X
4985 9437 2576 0898,2028-09-23,37615.61841092226,2020-09-23,24660457-8
4034 5584 6960 3434,2027-09-19,17481.4675130034,2019-09-19,84591193-9
4987 9577 4878 4790,2027-04-21,49148.654477291486,2019-04-21,62716211-3
3799 698631 87729,2030-04-28,30354.717833632385,2022-04-28,38709698-7
4307 4397 8680 7935,2028-03-04,10223.030750820551,2020-03-04,55525278-7
3763 508655 31078,2029-02-17,46221.507287863125,2021-02-17,64961040-X
4535 8169 2751 7313,2028-06-06,2762.79779049455,2020-06-06,77895303-2
2689 4607 0941 8438,2027-12-02,12129.980181054088,2019-12-02,86673405-7
4836 6292 3616 9650,2029-07-30,7152.684553640568,2021-07-30,45978650-6
4876 1255 2370 1801,2030-05-11,48154.12948207022,2022-05-11,31907643-6
4394 1955 1313 2534,2027-06-22,3684.5805050389704,2019-06-22,89387377-X
5352 0957 7354 5770,2029-03-10,49850.056833631716,2021-03-10,55936757-1
3780 803574 32737,2027-06-22,18359.690886284243,2019-06-22,36931176-1
4746 0817 0241 4674,2030-02-14,43912.497273985675,2022-02-14,08229075-6
3717 334954 68966,2028-11-16,44565.02674024185,2020-11-16,19141080-X
4360 0366 8082 2517,2029-06-16,9321.608689968607,2021-06-16,51600600-9
5103 6614 2893 2143,2030-05-22,11402.706629801502,2022-05-22,77895303-2
4208 1754 1859 8746,2030-12-31,48057.49848607272,2022-12-31,13089878-6
3449 735201 83941,2027-10-25,6823.289495285014,2019-10-25,64511996-X
4555 1868 1729 0800,2027-05-31,7032.222230816444,2019-05-31,22931200-X
2468 3212 6788 2422,2028-06-23,7850.134225880647,2020-06-23,69094098-8
3490 787796 66177,2030-04-19,38168.4930501829,2022-04-19,15444337-2
4377 3431 2699 9375,2029-03-20,35195.92461316236,2021-03-20,78124301-3
5132 7028 4035 2281,2028-02-05,8269.803382559847,2020-02-05,53392090-2
4914 8455 0358 9314,2030-02-16,27364.310015361985,2022-02-16,07125291-5
5470 7965 6614 8402,2028-02-18,2803.584481528551,2020-02-18,17549336-5
3410 741746 63487,2028-10-21,13316.093460077276,2020-10-21,90165363-6
4075 2402 3905 1034,2029-01-01,37022.0179545033,2021-01-01,47859630-2
4448 8446 3090 3956,2029-06-23,18619.12438789098,2021-06-23,99369651-3
3788 140823 08154,2028-12-31,44328.21396212778,2020-12-31,84629617-4
5417 0844 4996 7348,2028-03-23,36744.31823917811,2020-03-23,84867152-X
4670 5500 3609 7447,2028-12-02,30971.149989196947,2020-12-02,00537070-6
4746 1553 4158 5811,2029-08-08,37587.617121806885,2021-08-08,60571004-8
2440 6833 4868 8315,2029-09-08,41067.543476873616,2021-09-08,09181758-7
4433 5426 8783 8292,2028-11-21,4215.018852435222,2020-11-21,37105545-X
5551 1962 7118 6767,2027-08-06,6802.272275386075,2019-08-06,03139907-4
3754 649498 28185,2030-04-17,35067.99873016748,2022-04-17,39035305-7
4434 3847 7363 5236,2029-10-04,2933.6283219476813,2021-10-04,40765582-3
2370 5233 4594 8409,2029-07-19,32604.059186213097,2021-07-19,70920473-4
5289 5187 0247 3226,2030-10-24,31440.73015093171,2022-10-24,08868450-7
4511 1833 2644 1753,2027-04-08,48790.770971395585,2019-04-08,99972346-5
2420 4337 5908 4370,2027-08-09,36207.382227761016,2019-08-09,83394308-5
3720 072339 71956,2030-12-18,3758.0918189661443,2022-12-18,23011339-6
2613 4065 7284 9663,2027-08-16,9633.448215902928,2019-08-16,10788373-3
3775 796563 58650,2027-10-07,9511.755814996639,2019-10-07,90026489-5
3777 581436 00672,2027-03-28,22583.436803849552,2019-03-28,91202620-6
3484 546183 25203,2029-01-04,13714.983453470086,2021-01-04,90781972-4
4898 8933 4280 6002,2029-02-18,30578.55100068581,2021-02-18,48204934-8
2278 0352 2615 7409,2030-04-20,27831.166639865303,2022-04-20,94596808-5
2278 4021 1581 8543,2030-09-19,39187.131582707974,2022-09-19,45412205-8
4861 3753 2455 5289,2030-09-19,29748.67098957255,2022-09-19,25351861-2
4385 8079 0432 9047,2028-02-21,26753.309935719586,2020-02-21,87853321-3
3436 762369 07765,2028-12-26,7188.425738253682,2020-12-26,67028143-2
4114 5709 7280 9328,2030-08-16,19149.83508739286,2022-08-16,35697029-X
5566 6067 7543 0399,2027-02-03,14385.180367858038,2019-02-03,51199238-5
4256 3963 2115 3186,2028-02-14,10480.371214081079,2020-02-14,06620150-2
5315 5017 4807 9452,2030-02-20,34992.08460278123,2022-02-20,56745496-X
4300 9931 9462 1715,2027-10-28,20481.362200937787,2019-10-28,07221105-9
3727 619129 68242,2028-12-08,1066.1300519089473,2020-12-08,20272658-4
3467 832702 10531,2028-07-31,22974.611175829035,2020-07-31,44874987-9
3474 614577 02435,2027-04-02,22345.184031788333,2019-04-02,55400659-8
4186 6061 9031 4122,2027-10-03,20233.683152806076,2019-10-03,53408203-1
5211 4867 7430 1852,2028-08-22,11026.002234800924,2020-08-22,83752264-3
3456 242035 36512,2029-09-13,22772.68746030574,2021-09-13,01370890-7
4777 5049 8922 3882,2029-05-15,39754.95017780825,2021-05-15,78742628-6
3725 428107 54565,2028-12-13,44228.936020704336,2020-12-13,49330320-X
3407 245741 36937,2027-04-11,5333.939440087125,2019-04-11,58151591-X
4591 5635 0892 3707,2030-10-18,19277.65799817229,2022-10-18,00074741-8
4908 3177 8893 5560,2030-08-19,5037.613447635559,2022-08-19,19499664-3
4600 0633 2451 2312,2029-01-06,23707.68887951856,2021-01-06,68301273-X
4390 9820 5853 7605,2030-05-08,14443.485097595909,2022-05-08,42252566-4
3748 335607 92253,2027-06-17,4401.750330795539,2019-06-17,77998174-X
5186 0424 1203 3679,2029-05-02,18509.869605338485,2021-05-02,11511465-X
4098 5393 9986 5627,2029-02-11,16753.89915206907,2021-02-11,19114138-7
3453 491967 63630,2029-03-26,7281.3239340577575,2021-03-26,71417859-2
3456 460407 78452,2027-08-16,18963.743904973086,2019-08-16,30060407-2
5233 0749 7400 2951,2030-10-26,10720.37612091713,2022-10-26,89924677-X
3717 941478 55471,2027-02-19,34412.32651251709,2019-02-19,34462198-3
4141 8523 2666 5953,2030-05-19,42515.08122749686,2022-05-19,36778663-X
3771 811094 35860,2027-12-23,45800.328044705646,2019-12-23,67128659-6
3478 017289 84868,2027-03-03,36183.40516755506,2019-03-03,13118063-8
5517 6307 4192 0986,2027-03-07,20224.44961928862,2019-03-07,59318470-3
2395 9766 5635 0972,2027-01-26,12943.461804732537,2019-01-26,59778261-8
3797 745646 52355,2029-12-18,28322.79459691526,2021-12-18,37299202-8
4243 5918 0175 2277,2027-10-18,940.3670507939423,2019-10-18,48143002-6
3702 762998 91893,2029-09-06,25873.753333241042,2021-09-06,84872520-1
2669 1104 5316 8358,2029-08-03,9420.535468020922,2021-08-03,19186274-5
4937 7432 0097 6798,2030-03-21,30659.246696295795,2022-03-21,16366479-2
4513 7930 1003 9818,2029-12-13,42965.59042109038,2021-12-13,75538648-X
3752 814366 49514,2030-01-12,37897.440316223154,2022-01-12,71619433-8
3430 384309 32679,2028-07-04,26848.940272064512,2020-07-04,90893699-2
2579 3510 7711 8150,2027-05-28,48845.369610596026,2019-05-28,00086033-2
5106 4512 0008 3555,2028-06-14,18556.00073111407,2020-06-14,02995180-8
4302 3224 3005 8185,2027-07-21,2155.8360004371752,2019-07-21,43254878-X
2317 6959 6435 6050,2030-09-04,38985.987342123095,2022-09-04,53299234-3
3449 467046 07976,2028-01-16,21628.629805906865,2020-01-16,62818609-9
3417 744893 88130,2029-09-22,32402.6553431514,2021-09-22,20855711-9
5548 4455 6716 0135,2028-09-01,40888.83122109707,2020-09-01,01285652-9
4354 4063 5715 2084,2028-07-11,34881.80475361101,2020-07-11,43719773-X
3727 375590 88130,2027-06-24,9282.06054488245,2019-06-24,87424959-3
4485 2944 3758 5040,2030-10-06,14436.511521353996,2022-10-06,47406377-5
5217 6878 0489 7371,2030-01-26,27518.577135823947,2022-01-26,54341174-9
4727 5438 9349 8520,2030-09-13,37069.92731330408,2022-09-13,75000540-4
2495 6154 3232 0607,2030-03-01,36540.559628849995,2022-03-01,99715684-5
5541 9556 7627 2271,2029-11-22,8028.579289511169,2021-11-22,47693050-8
3425 467573 90710,2028-05-25,16801.232661920832,2020-05-25,79590119-X
2526 4893 4582 5414,2029-11-16,32682.89180503076,2021-11-16,39778880-7
3721 799621 90544,2028-09-05,13339.010855047141,2020-09-05,63303813-5
2461 9312 5036 1551,2029-02-17,14087.357643400414,2021-02-17,71426894-X
3774 057626 88527,2029-10-30,41472.36118308317,2021-10-30,60812405-3
3785 922126 53984,2028-04-28,15695.695307090948,2020-04-28,69680593-X
3400 380432 32650,2027-07-22,30069.671507000683,2019-07-22,32928082-8
4829 9036 9198 5168,2030-03-29,13110.951883634585,2022-03-29,74502690-6
4464 3983 6889 2013,2027-05-11,23970.351874171796,2019-05-11,14784869-1
5382 3517 3267 3193,2029-12-01,11329.231225473903,2021-12-01,94582691-6
4626 3789 8768 7635,2029-08-10,2146.2514560142254,2021-08-10,15229566-1
3494 435591 90980,2027-05-07,48785.50409044181,2019-05-07,88571174-X
3469 613148 82404,2029-11-28,44072.410083476985,2021-11-28,90781972-4
5205 7342 5044 0696,2028-10-14,43861.088552069275,2020-10-14,16712463-X
4389 0379 2811 7485,2029-05-05,38115.64445171581,2021-05-05,69274400-4
4544 6593 0260 9837,2029-08-12,25886.978853661592,2021-08-12,14818495-9
3499 316172 29048,2030-08-22,44192.9570072082,2022-08-22,67005848-5
5557 2562 5318 1428,2027-10-06,36378.285792074996,2019-10-06,39168959-7
2503 7317 3719 0825,2029-04-15,7613.2200632295435,2021-04-15,43034495-4
4308 6130 1987 8835,2030-04-13,42862.63700822126,2022-04-13,68482359-8
3747 037609 73658,2030-11-06,48230.74484883477,2022-11-06,02467166-4
2287 9544 5878 4939,2030-12-05,4283.618345846364,2022-12-05,30452093-3
2537 5380 1912 1570,2027-01-27,26897.084316355653,2019-01-27,44388176-X
2284 5970 7694 8072,2028-05-27,2958.3100609818766,2020-05-27,08274409-8
5134 5255 4468 2226,2030-01-24,10127.87485466039,2022-01-24,07562058-6
3738 921313 94016,2028-04-03,20360.064650610646,2020-04-03,76404503-9
3721 181666 52305,2030-06-18,44522.15162110246,2022-06-18,19381230-5
2418 8423 1890 9790,2030-07-09,42711.412313805915,2022-07-09,30812462-3
3406 105145 70543,2028-04-15,6331.775254896777,2020-04-15,64879437-3
2608 7877 5850 5535,2030-09-13,19531.28993540504,2022-09-13,31527957-7
2295 3609 5685 1313,2029-01-21,27166.581180929854,2021-01-21,55952492-X
2363 6917 0165 7499,2028-02-23,3913.44252587779,2020-02-23,23685382-3
3790 508450 62957,2029-10-20,44781.931075619774,2021-10-20,24618414-X
3467 938367 35210,2029-07-04,21572.632407561454,2021-07-04,38299297-5
3471 869307 66893,2027-01-10,30252.983121523754,2019-01-10,57225979-X
4458 6519 3306 4395,2029-08-15,12444.57748387028,2021-08-15,07523163-5
3711 600778 23501,2028-12-26,10539.903306181885,2020-12-26,71631763-8
4268 2418 9076 3435,2028-02-14,43719.01916665502,2020-02-14,17962357-9
3771 317264 50610,2028-04-11,46273.03266289853,2020-04-11,31873830-6
4398 5655 2082 1814,2029-04-17,11543.317217050102,2021-04-17,75000540-4
3457 615324 81349,2029-01-14,14152.014316198547,2021-01-14,23309770-2
4659 0151 0665 6907,2030-07-04,1669.5789487429006,2022-07-04,61246462-2
5300 8857 0144 4978,2027-06-01,41698.851484165345,2019-06-01,86177399-7
4804 8471 2431 8605,2029-06-05,26713.497538796193,2021-06-05,09563822-X
5517 9739 2265 6056,2030-08-16,40727.28502749448,2022-08-16,20544969-7
4225 3262 7099 9352,2029-07-24,41338.25690127305,2021-07-24,68901045-6
5314 6311 1205 8625,2028-12-10,20602.734025445425,2020-12-10,43811882-X
3705 869081 55559,2027-10-21,2714.622168562599,2019-10-21,07125291-5
3754 680098 07310,2027-10-06,21544.708605113054,2019-10-06,14725506-X
3440 269684 89070,2027-08-07,27486.379294369544,2019-08-07,78105407-4
3753 640068 99709,2027-04-11,20318.32216179097,2019-04-11,37375245-1
3788 874352 83613,2027-10-21,14252.231978510572,2019-10-21,05492272-2
3744 939421 69389,2029-06-18,16216.587207030687,2021-06-18,08229075-6
5276 3291 9614 4611,2028-05-11,42658.867043631326,2020-05-11,96596269-X
3744 325571 18760,2028-01-17,20194.99963839446,2020-01-17,43818471-1
3717 884823 09243,2029-11-08,39499.30366886025,2021-11-08,87711492-7
3757 367250 32979,2028-09-14,11032.863317992007,2020-09-14,40793459-X
5254 6384 4773 5100,2029-08-05,21749.45388225623,2021-08-05,21855393-1
4900 8953 6092 1809,2028-04-23,32808.919377557206,2020-04-23,74073947-X
4602 4940 1928 8132,2027-05-03,4511.567388507898,2019-05-03,39845142-1
5503 5905 5671 3775,2029-08-23,46851.65850606455,2021-08-23,23011339-6
3724 476515 04543,2029-11-08,2376.316716474704,2021-11-08,13297637-5
4467 0611 6746 3207,2029-09-23,24489.610843611936,2021-09-23,78438267-8
2258 2966 7547 7847,2027-06-06,29874.215949837948,2019-06-06,68568619-5
3455 186937 18418,2027-11-13,28312.538609803345,2019-11-13,74638345-9
4306 4107 7987 9372,2028-10-10,17138.606127027386,2020-10-10,69422918-X
4768 1938 9557 4454,2029-03-24,43004.85273844126,2021-03-24,19863766-X
3793 589698 77005,2028-11-16,33794.67987358516,2020-11-16,65708740-3
4944 2666 9229 9900,2029-11-27,30169.99781505688,2021-11-27,22111350-3
2617 2463 8051 2053,2029-09-11,35414.339333557014,2021-09-11,16263437-4
4338 1258 3983 8703,2028-01-28,41163.0220332641,2020-01-28,39035305-7
4437 0563 9089 7061,2030-02-25,43226.200500054605,2022-02-25,34489886-7
4661 3751 9797 8347,2029-03-11,43886.443765961376,2021-03-11,27088583-X
5338 9917 3173 6403,2029-04-01,49190.462445343874,2021-04-01,42118908-6
3784 323115 34654,2028-01-01,5548.925675179404,2020-01-01,29320340-8
4728 8257 4979 9014,2029-07-12,14232.674916860668,2021-07-12,16263437-4
4566 3813 5329 0937,2028-01-06,42380.958498507425,2020-01-06,25874673-2
5162 6701 1894 9703,2028-10-16,45259.80736170453,2020-10-16,43560965-5
3745 578543 30781,2028-04-10,17573.355149977193,2020-04-10,07918793-6
5567 3457 4783 0746,2030-01-04,18894.06047922485,2022-01-04,14158654-8
4032 6599 5234 6473,2027-03-16,812.3339380565159,2019-03-16,33811895-5
2437 1746 3795 5255,2029-07-12,32517.87370869039,2021-07-12,77718830-X
2474 0222 6546 4351,2027-02-09,24413.676773285446,2019-02-09,77509939-5
4330 5885 4352 0289,2027-04-05,26974.696001703953,2019-04-05,03121947-5
2268 8100 2861 1312,2029-08-22,21715.6745198337,2021-08-22,04755472-8
4500 6215 4241 6839,2030-10-19,12108.798390133883,2022-10-19,46273652-X
4691 5075 9852 6960,2030-12-22,31311.281599668506,2022-12-22,20486965-9
4692 7628 8489 1268,2027-09-22,22246.087328093166,2019-09-22,62419238-X
3469 699863 41328,2027-09-25,1476.2198616568771,2019-09-25,52796918-1
3787 770112 04705,2030-09-20,2475.924525819758,2022-09-20,41509572-6
2236 5618 0182 4122,2028-07-03,8934.729305701148,2020-07-03,72780553-3
4597 5011 9577 0191,2030-11-19,25750.283277530758,2022-11-19,12664799-6
4334 4494 9234 0631,2029-08-05,41067.75782354079,2021-08-05,91202620-6
2311 5412 9443 1153,2028-05-04,26824.9572680367,2020-05-04,55225653-6
3784 944180 32263,2028-12-13,24776.941635672178,2020-12-13,83362948-4
3476 927449 46597,2027-04-20,21782.78032157868,2019-04-20,46273652-X
2675 2014 5761 2392,2028-02-16,22361.78765595963,2020-02-16,59924269-X
2689 7908 5244 6061,2030-04-01,9740.930616311456,2022-04-01,59079042-1
4381 5401 5427 0256,2029-04-27,2438.0729172568344,2021-04-27,21156101-7
3497 777104 43188,2027-04-30,1331.1874625784108,2019-04-30,98569820-1
4794 7929 2908 8783,2029-09-12,11935.424472028579,2021-09-12,49780271-5
